Name,Language,Watching,Stars,Forks,Issues,Commits,Pull_requests
freeCodeCamp,en,8500,410251,39007,168,37591,66
free-programming-books,en,9800,350789,62853,29,9499,55
awesome,en,7800,347926,28559,12,1154,40
build-your-own-x,en,5600,337532,31226,190,571,162
material-ui,en,1300,94823,32495,1674,26364,161
coding-interview-university,en,8400,312127,77981,52,2511,8
developer-roadmap,en,6800,308764,40377,135,6243,7
system-design-primer,en,6700,289726,48206,232,332,246
996.ICU,en,4200,270281,21133,0,3217,4
awesome-python,en,6100,234653,25320,0,1679,428
react,en,6600,232463,47652,776,20001,184
project-based-learning,en,3200,218291,28463,112,570,91
awesome-selfhosted,en,2700,217345,10259,0,6709,0
Python,en,5900,197472,46282,64,3490,289
javascript-algorithms,en,4300,190171,30495,129,1120,228
linux,en,7800,188099,55190,0,1336263,444
You-Dont-Know-JS,en,5900,181066,33596,81,1899,45
CS-Notes,en,5300,178945,51193,148,3781,65
ohmyzsh,en,2700,176203,26011,132,7477,339
computer-science,en,5800,175494,22267,14,1066,2
youtube-dl,en,2200,134296,10212,3690,18886,498
next.js,en,1500,129530,27708,2698,27399,664
ollama,en,737,128067,10427,1353,3895,204
fucking-algorithm,en,2300,126878,23304,4,516,40
go,en,3400,125968,17890,5000,62325,338
d3,en,3600,109847,22858,9,4507,12
hello-algo,en,569,109173,13586,18,2071,19
yt-dlp,en,567,101063,7917,1500,23012,312
langchain,en,720,101051,16400,344,12710,58
HelloGitHub,en,3100,98686,9822,192,204,2
angular,en,3000,96990,25894,1515,32192,245
material-ui,en,1300,94823,32495,1674,26364,161
godot,en,1500,94130,21719,5000,71794,3330
ant-design,en,242,93753,51248,1206,29201,68
excalidraw,en,429,92755,8881,1663,3672,384
clean-code-javascript,en,1800,92490,12387,71,546,36
neovim,en,975,86346,5881,1555,31874,310
every-programmer-should-know,en,2000,86218,7936,29,284,25
storybook,en,933,85892,9441,2039,66351,139
rustdesk,en,496,82453,11521,49,10279,7
app-ideas,en,1800,82220,9653,126,536,356
bitcoin,en,4000,82093,36805,386,43983,273
svelte,en,848,81466,4394,766,10003,53
animate.css,en,2300,81331,16226,32,664,21
ui,en,261,81278,5332,781,650,879
realworld,en,1500,81219,7405,44,974,24
NextChat,en,426,81061,60932,562,3014,81
opencv,en,2700,80669,55987,2564,34975,145
